"Site","n","mean_spacing","sd_spacing"
"Bco. Santos",5,5.62666666666667,0.833446658961047
"Cruz de las Animas",7,4.20285714285714,0.411935038799174
"Hoya Fria",20,4.59611111111111,0.878395187017303
"Majagora",10,4.279,0.741656554238176
"Maspalomas",20,7.354,1.70216332941349
"Mt. Guerra",11,4.3875,1.09567656854436
"Pico Yeje",6,3.8,0.2151743479135
"Risco del Perro",13,4.83166666666667,0.953823247713531
"Uchova",15,4.47153846153846,1.52033903101603
