"Site","Fish_collagen","mean_marine_apatite"
"Bco Santos",17.0747330163678,NA
"Cruz Animas",26.3714633719763,NA
"Hoya Fria",17.247846936822,81.3933333333333
"Majagora",9.67982309503314,79.38
"Maspalomas",17.5874551719684,94.2933333333333
"Mt Guerra",23.6209121891351,NA
"Pico Yeje",25.436398403359,80.0777777777778
"Risco Perro",18.9082515075781,NA
"Uchova",32.020173540846,83.5466666666667
