"Site","mean_trophic_position","sd_trophic_position"
"Bco Santos",1.8257777775,0.0597390157267427
"Cruz Animas",2.14542063464286,0.234669220088922
"Hoya Fria",1.93897222194444,0.154448272217107
"Majagora",1.7925277775,0.209095439399758
"Maspalomas",1.9522777775,0.188764992046254
"Mt Guerra",2.0654652775,0.297295660616546
"Pico Yeje",2.1037777775,0.321701530925795
"Risco Perro",1.97223611083333,0.255739698835762
"Uchova",2.19885470057692,0.22384693860555
