SampleID,Specimen,Category,Site,Sr,d18O,d13Cap,d15N,d13Ccol,C14_cal_AD,dates,LAT,LONG
UV11,Human,Human,Uchova,0.70541,-1.08,-12.75,10.07,-19.56,,,28.09,-16.6
UV12,Human,Human,Uchova,0.7056,1.18,-14.25,11.14,-19.53,,,28.09,-16.6
UV13,Human,Human,Uchova,0.70553,0.31,-13.45,13.13,-19,,,28.09,-16.6
UV14,Human,Human,Uchova,0.70584,-0.93,-13.26,12.24,-18.71,,,28.09,-16.6
UV15,Human,Human,Uchova,0.70613,-0.06,-14.26,,,,,28.09,-16.6
TF022,Ovicaprid,Fau,Cha Silveria,0.70759,-0.19,,,,,,28.031,-16.5753
CA01,Human,Human,Cruz de las Animas,0.70647,-1.97,-15.76,10.41,-19.77,1274-1392,1350,28.13,-16.56
CA02,Human,Human,Cruz de las Animas,0.70641,-1.88,-15.39,12.18,-19.04,1295-1399,1388,28.13,-16.56
CA03,Human,Human,Cruz de las Animas,0.70676,-0.7,-15.24,11.9,-19.64,1295-1399,1388,28.13,-16.56
CA04,Human,Human,Cruz de las Animas,0.70629,-1.66,-14.74,12.57,-19.53,1278-1394,1352,28.13,-16.56
CA05,Human,Human,Cruz de las Animas,0.70612,-1.74,-15,11.16,-19.39,775-989,964,28.13,-16.56
CA06,Human,Human,Cruz de las Animas,0.70674,0,-15.02,13.2,-18.77,1295-1399,1388,28.13,-16.56
CA07,Human,Human,Cruz de las Animas,0.70606,-1.38,-14.89,11.31,-19.32,1328-1452,1452,28.13,-16.56
RP01,Human,Human,Risco del Perro,0.70576,0.21,-13.94,12.15,-18.89,,,28.39,-16.52
RP02,Human,Human,Risco del Perro,0.70581,-0.31,-13.87,,,,,28.39,-16.52
RP03,Human,Human,Risco del Perro,0.7061,0.5,-14.74,11.35,-18.87,,,28.39,-16.52
RP04,Human,Human,Risco del Perro,0.70541,-0.57,-13.08,10.74,-19.87,,,28.39,-16.52
RP05,Human,Human,Risco del Perro,0.70524,-1.59,-15.26,9.49,-19.58,1040-1209,1202,28.39,-16.52
RP06,Human,Human,Risco del Perro,0.70543,-0.96,-15.06,11.42,-19.57,703-893,908,28.39,-16.52
RP07,Human,Human,Risco del Perro,0.70535,-1.24,-16.07,10.76,-19.31,703-893,1273,28.39,-16.52
RP08,Human,Human,Risco del Perro,0.70604,-0.28,-14.82,11.73,-19.42,703-893,1273,28.39,-16.52
RP09,Human,Human,Risco del Perro,0.70642,-1.2,-14.61,9.55,-19.52,1161-1267,1253,28.39,-16.52
RP10,Human,Human,Risco del Perro,0.70648,-0.29,-14.66,12.63,-18.55,1045-1211,1207,28.39,-16.52
RP11,Human,Human,Risco del Perro,0.70582,0.64,-14.06,11.43,-19.17,995-1156,1124,28.39,-16.52
RP12,Human,Human,Risco del Perro,0.70726,-1.54,-13.55,10.09,-19.29,,,28.39,-16.52
RP13,Human,Human,Risco del Perro,0.70608,-0.12,-12.78,12.17,-18.57,,,28.39,-16.52
TF019,Ovicaprid,Fau,Bco. Cabrera,0.70671,-0.29,,,,,,28.4514,-16.437
TF014,Pig,Fau,El Pris ,0.70726,-0.27,,,,,,28.5093,-16.4211
TF016,Pig,Fau,La Fuentecilla,0.70699,-0.23,,,,,,28.5146,-16.4181
TF017,Ovicaprid,Fau,La Fuentecilla,0.70659,-1.3,,,,,,28.5146,-16.4181
TF018,Ovicaprid,Fau,El Boqueron,0.70697,-0.2,,,,,,28.4947,-16.3733
TF032,Pig,Fau,Cabezazos (Rajo C),0.707301,-2.15,-13.07,,,,,28.516919,-16.34185
TF035,Ovicaprid,Fau,Cabezazos,0.70593,-0.14,-15.12,,,,,28.516919,-16.34185
MG01,Human,Human,Mt. Guerra,0.70624,-1.07,-13.86,9.88,-20.23,661-820,810,28.46,-16.32
MG02,Human,Human,Mt. Guerra,0.7061,-1.22,-14.89,11.33,-19.22,686-887,882,28.46,-16.32
MG03,Human,Human,Mt. Guerra,0.70612,-1.8,-15.15,12.28,-18.92,664-819,816,28.46,-16.32
MG04,Human,Human,Mt. Guerra,0.70648,-1.39,-15.7,10.96,-18.95,672-874,841,28.46,-16.32
