source,ID,d15N,d13Ccol,d13Cap,Settlement,Region
This,UV15m,NA,NA,-14.26,Uchova,South
This,UV1f,12.89,-19.12,-16.16,Uchova,South
This,UV2f,12.35,-18.96,-15.45,Uchova,South
This,UV3f,11.41,-18.69,-15.41,Uchova,South
This,UV4f,12.09,-18.24,-16.06,Uchova,South
This,UV5f,13.33,-18.99,-14.99,Uchova,South
This,UV6f,12.09,-18.48,-15.99,Uchova,South
This,UV7m,12.17,-18.8,-14.26,Uchova,South
This,UV8m,12.32,-19.81,-13.25,Uchova,South
This,UV9pm,NA,NA,-13.76,Uchova,South
